sepal_length,sepal_width,petal_length,petal_width,species,origin,measurement_quality
5.15,2.98,1.57,0.12,Setosa,Greenhouse,Low
4.96,3.27,1.61,0.14,Setosa,Garden,High
5.19,3.3,1.72,0.27,Setosa,Greenhouse,Medium
5.46,3.16,1.71,0.26,Setosa,Garden,High
4.93,3.35,1.22,0.2,Setosa,Greenhouse,High
4.93,3.52,1.31,0.21,Setosa,Wild,Low
5.47,3.97,1.6,0.33,Setosa,Garden,Low
5.23,3.45,1.6,0.14,Setosa,Garden,High
4.86,3.48,1.6,0.25,Setosa,Garden,Medium
5.16,3.38,2.27,0.18,Setosa,Wild,Low
4.86,2.82,1.61,0.18,Setosa,Garden,High
4.86,3.39,1.73,0.31,Setosa,Wild,High
5.07,3.42,1.69,0.28,Setosa,Wild,High
4.43,4.14,1.63,0.28,Setosa,Greenhouse,High
4.48,3.34,1.44,0.33,Setosa,Garden,Medium
4.83,3.49,1.65,0.2,Setosa,Garden,High
4.7,3.39,1.35,0.27,Setosa,Wild,Low
5.09,3.05,1.45,0.17,Setosa,Greenhouse,Medium
4.73,3.74,1.4,0.23,Setosa,Wild,Medium
4.58,3.63,1.52,0.19,Setosa,Wild,Medium
5.44,3.64,1.96,0.21,Setosa,Greenhouse,Low
4.93,3.13,1.13,0.26,Setosa,Wild,High
5.02,3.82,1.64,0.12,Setosa,Wild,High
4.57,2.98,1.18,0.41,Setosa,Wild,Medium
4.84,3.58,1.41,0.1,Setosa,Greenhouse,High
5.03,4.06,1.72,0.08,Setosa,Garden,Low
4.65,3.1,1.51,0.32,Setosa,Greenhouse,Low
5.11,3.23,1.28,0.28,Setosa,Greenhouse,High
4.82,3.43,1.36,0.26,Setosa,Garden,Medium
4.91,3.25,1.64,0.26,Setosa,Wild,Low
4.82,2.93,1.35,0.2,Setosa,Greenhouse,Low
5.56,3.42,1.54,0.11,Setosa,Wild,Medium
5.0,3.08,1.51,0.21,Setosa,Wild,Medium
4.68,3.54,1.37,0.13,Setosa,Wild,Medium
5.25,3.12,1.93,0.3,Setosa,Wild,Low
4.63,3.86,1.63,0.19,Setosa,Greenhouse,Low
5.06,3.17,1.09,0.12,Setosa,Greenhouse,Medium
4.41,3.3,1.54,0.17,Setosa,Garden,Medium
4.6,3.64,1.37,0.24,Setosa,Garden,Low
5.06,3.03,1.67,0.14,Setosa,Wild,Low
5.22,3.47,1.34,0.12,Setosa,Wild,Low
5.05,3.79,1.48,0.22,Setosa,Garden,High
4.97,2.92,1.6,0.22,Setosa,Garden,Medium
4.91,3.46,1.67,0.15,Setosa,Garden,Medium
4.56,3.48,1.26,0.15,Setosa,Garden,High
4.78,3.63,1.43,0.22,Setosa,Wild,Medium
4.86,3.03,1.41,0.06,Setosa,Garden,Medium
5.32,3.0,1.37,0.06,Setosa,Garden,Medium
5.1,3.56,1.85,0.13,Setosa,Greenhouse,Low
4.47,3.49,1.58,0.18,Setosa,Greenhouse,Low
5.1,3.48,1.25,0.23,Setosa,Greenhouse,High
4.88,3.5,1.68,0.35,Setosa,Greenhouse,Low
4.8,3.2,1.92,0.29,Setosa,Greenhouse,Low
5.18,3.47,1.71,0.18,Setosa,Wild,High
5.31,3.49,1.2,0.2,Setosa,Greenhouse,Low
5.28,3.19,1.4,0.1,Setosa,Greenhouse,High
4.75,3.96,1.75,0.2,Setosa,Wild,High
4.91,3.54,1.36,0.17,Setosa,Wild,Low
5.1,3.04,1.59,0.23,Setosa,Greenhouse,High
5.29,3.6,1.65,0.12,Setosa,Garden,Medium
4.86,3.11,1.31,0.25,Setosa,Wild,High
4.94,3.64,1.49,0.35,Setosa,Wild,High
4.67,3.75,0.85,0.19,Setosa,Wild,High
4.64,3.15,1.3,0.24,Setosa,Garden,High
5.24,3.69,1.45,0.27,Setosa,Wild,Medium
5.41,3.52,1.25,0.16,Setosa,Wild,High
4.98,3.65,1.83,0.22,Setosa,Wild,Medium
5.3,3.97,1.21,0.2,Setosa,Garden,Low
5.11,3.33,1.41,0.21,Setosa,Garden,Medium
4.81,3.17,1.53,0.12,Setosa,Garden,Low
5.11,3.13,1.79,0.2,Setosa,Garden,Medium
5.46,3.16,1.21,0.25,Setosa,Greenhouse,Medium
4.99,3.38,1.73,0.35,Setosa,Greenhouse,Low
5.47,3.5,1.5,0.3,Setosa,Garden,High
4.21,3.48,1.3,0.42,Setosa,Wild,High
5.25,3.65,1.59,0.12,Setosa,Garden,Low
5.03,3.4,1.54,0.29,Setosa,Garden,Low
4.91,3.84,1.38,0.22,Setosa,Greenhouse,Low
5.03,3.32,1.51,0.42,Setosa,Wild,Medium
4.4,4.22,1.42,0.12,Setosa,Wild,Low
4.93,3.59,1.52,0.12,Setosa,Wild,Medium
5.11,3.14,1.63,0.14,Setosa,Garden,Medium
5.44,3.08,1.82,-0.01,Setosa,Wild,Low
4.84,3.54,1.25,0.15,Setosa,Greenhouse,Low
4.76,3.33,1.93,0.12,Setosa,Greenhouse,Low
4.85,3.61,1.11,0.22,Setosa,Greenhouse,Medium
5.27,3.54,1.47,0.23,Setosa,Greenhouse,Low
5.1,3.38,1.62,0.39,Setosa,Garden,Medium
4.84,3.15,1.56,0.3,Setosa,Wild,Medium
5.15,2.95,1.38,0.14,Setosa,Greenhouse,Low
5.03,3.27,1.46,0.11,Setosa,Greenhouse,High
5.29,3.66,1.4,0.25,Setosa,Greenhouse,High
4.79,3.46,1.38,0.07,Setosa,Wild,Low
4.9,3.03,1.67,0.38,Setosa,Garden,High
4.88,3.45,1.57,0.32,Setosa,Greenhouse,Medium
4.56,3.52,1.36,0.15,Setosa,Wild,Medium
5.09,3.13,1.68,0.03,Setosa,Garden,High
5.08,3.45,1.56,0.34,Setosa,Garden,High
5.0,3.42,1.66,0.19,Setosa,Wild,Low
4.93,3.06,1.63,0.32,Setosa,Garden,High
6.93,3.2,4.37,1.57,Versicolor,Garden,Medium
5.65,3.4,4.52,0.76,Versicolor,Garden,Low
6.06,3.02,4.6,1.57,Versicolor,Greenhouse,Low
6.56,3.27,4.15,1.56,Versicolor,Wild,Medium
6.49,2.45,4.2,1.48,Versicolor,Greenhouse,High
6.69,2.6,4.27,0.9,Versicolor,Wild,Low
5.29,2.3,4.16,1.5,Versicolor,Greenhouse,Medium
5.45,2.62,4.6,1.29,Versicolor,Wild,Medium
5.99,3.03,4.11,0.79,Versicolor,Garden,High
6.24,2.86,4.68,1.56,Versicolor,Greenhouse,Medium
5.9,3.06,4.19,1.59,Versicolor,Garden,Medium
5.24,2.52,4.44,0.92,Versicolor,Greenhouse,High
6.1,2.54,4.35,1.34,Versicolor,Garden,High
5.82,2.86,4.01,1.58,Versicolor,Greenhouse,Medium
5.82,2.62,4.29,1.55,Versicolor,Garden,Low
4.99,3.19,4.4,1.47,Versicolor,Wild,Low
6.22,2.61,4.28,0.77,Versicolor,Wild,Low
5.96,2.65,3.9,1.45,Versicolor,Wild,High
6.62,2.93,4.81,1.26,Versicolor,Wild,Low
5.87,2.68,4.33,1.5,Versicolor,Greenhouse,Medium
6.13,2.43,4.06,1.35,Versicolor,Garden,High
6.23,2.47,4.79,1.3,Versicolor,Wild,Medium
5.2,2.96,4.49,1.43,Versicolor,Greenhouse,High
6.95,2.39,3.94,1.27,Versicolor,Wild,High
5.73,3.22,3.99,1.3,Versicolor,Wild,Medium
6.1,2.59,4.23,1.19,Versicolor,Garden,Medium
6.16,2.98,4.39,0.98,Versicolor,Wild,Low
5.57,2.61,4.49,1.41,Versicolor,Wild,Medium
6.64,2.53,4.59,1.14,Versicolor,Wild,Low
6.01,2.87,4.46,1.26,Versicolor,Garden,Low
5.81,3.12,4.7,1.36,Versicolor,Greenhouse,High
5.96,2.73,4.34,0.88,Versicolor,Greenhouse,High
6.21,2.78,4.07,0.93,Versicolor,Greenhouse,High
5.9,3.04,4.3,1.24,Versicolor,Wild,Low
6.25,3.05,4.28,1.39,Versicolor,Greenhouse,Low
5.23,2.79,3.53,1.45,Versicolor,Greenhouse,Medium
5.6,2.67,4.13,0.98,Versicolor,Greenhouse,Medium
5.04,2.82,4.39,1.43,Versicolor,Wild,Medium
6.7,2.74,4.17,1.25,Versicolor,Wild,High
6.69,2.89,4.11,1.12,Versicolor,Garden,Low
6.15,2.44,4.57,1.17,Versicolor,Garden,High
5.49,2.88,4.03,1.46,Versicolor,Greenhouse,Low
6.86,2.58,4.51,1.35,Versicolor,Greenhouse,High
5.66,3.07,3.9,1.31,Versicolor,Garden,Low
5.81,2.6,5.13,1.35,Versicolor,Wild,Low
5.96,2.6,4.24,1.49,Versicolor,Wild,Medium
6.08,2.93,4.2,1.28,Versicolor,Greenhouse,Low
6.16,2.8,4.64,1.31,Versicolor,Greenhouse,High
6.17,3.48,4.17,1.53,Versicolor,Wild,High
5.84,2.31,4.74,1.23,Versicolor,Garden,Low
6.17,2.83,4.41,1.42,Versicolor,Garden,Low
5.82,3.14,4.26,1.2,Versicolor,Wild,Low
6.13,2.63,4.23,1.22,Versicolor,Garden,High
6.1,2.53,4.66,1.28,Versicolor,Greenhouse,Low
6.21,2.54,4.37,1.4,Versicolor,Garden,Medium
6.16,2.32,4.43,1.54,Versicolor,Wild,Low
5.72,3.2,4.46,1.32,Versicolor,Wild,High
6.08,2.7,4.34,1.0,Versicolor,Greenhouse,High
6.16,2.67,4.46,1.43,Versicolor,Garden,Medium
5.38,2.16,4.26,1.79,Versicolor,Greenhouse,Low
5.79,2.37,4.29,1.32,Versicolor,Wild,High
